Product_ID,Brand,Category,Price,Ingredients
82,Fresh,Cleanser,3200,Soy Proteins|Cucumber|Rosewater
83,Kiehl's,Mask,3800,Rare Earth Clays|Aloe Vera
84,Minimalist,Exfoliant,599,Glycolic Acid|Salicylic Acid|Lactic Acid
85,The Ordinary,Serum,900,Azelaic Acid
86,CeraVe,Cleanser,1100,Ceramides|Hyaluronic Acid
87,Neutrogena,Sunscreen,650,Helioplex|SPF 50
88,Supergoop!,Sunscreen,3400,Avobenzone|SPF 40
89,Wishtrend,Serum,1800,Pure Vitamin C 21.5%
90,I'm From,Mask,2100,Mugwort|Glycerin
91,Paula's Choice,Treatment,3200,Azelaic Acid|Salicylic Acid
92,Dr. Jart+,Moisturizer,3500,Ceramidin Complex
93,Foxtale,Serum,595,Retinol|Betaine|Kokum Butter
94,Foxtale,Sunscreen,395,SPF 50|Niacinamide|Vitamin B5
95,Conscious Chemist,Sunscreen,499,SPF 50|Berry Extract|Hyaluronic Acid
96,Conscious Chemist,Moisturizer,599,Ceramides|Oat Extract|Peptides
97,WishCare,Serum,899,Ferulic Acid|Vitamin C|Vitamin E
98,WishCare,Sunscreen,499,SPF 50|Cica|Ceramides
99,Suganda,Serum,699,Niacinamide|Panthenol|Centella Asiatica
100,Suganda,Cleanser,599,Squalane|Glycerin|Decyl Glucoside
101,Chemist at Play,Serum,749,Salicylic Acid|Cica|Niacinamide
102,Chemist at Play,Moisturizer,649,Ceramides|Hyaluronic Acid|Vitamin E
103,L'Oreal,Serum,999,Hyaluronic Acid|Glycerin
104,L'Oreal,Cleanser,399,Glycolic Acid|Salicylic Acid
105,Olay,Moisturizer,1599,Niacinamide|Peptides|Vitamin C
106,Olay,Serum,1999,Retinol 24|Niacinamide
107,Pond's,Cleanser,250,Vitamin C|Niacinamide
108,Pond's,Moisturizer,300,Hyaluronic Acid|Vitamin E
109,Garnier,Serum,549,Vitamin C|Salicylic Acid|Niacinamide
110,Himalaya,Cleanser,150,Neem|Turmeric
111,Himalaya,Mask,200,Neem|Fuller's Earth
112,The Derma Co,Treatment,599,2% Salicylic Acid Mask|Kaolin Clay
113,Minimalist,Sunscreen,599,SPF 50|Multi-Vitamin|Resveratrol
114,Minimalist,Toner,499,PHA|Niacinamide|Salicylic Acid
115,The Ordinary,Serum,1100,Granactive Retinoid 2%|Squalane
116,The Ordinary,Moisturizer,800,Natural Moisturizing Factors|Hyaluronic Acid
117,COSRX,Toner,1450,AHA|BHA|Vitamin C
118,COSRX,Serum,1650,Propolis|Honey|Hyaluronic Acid
119,Bioderma,Cleanser,1600,Atoderm Huile de Douche|Coco Glucoside
120,Bioderma,Moisturizer,1400,Atoderm Intensive Baume|Ceramides
121,Plum,Sunscreen,450,Rice Water|Niacinamide|SPF 50
122,Plum,Moisturizer,550,2% Niacinamide|Rice Water
123,Dot & Key,Serum,695,10% Vitamin C|Saffron|Licorice
124,Dot & Key,Cleanser,395,Watermelon|Vitamin C|AHA
125,Re'equil,Serum,695,0.1% Retinol|Matrixyl 3000
126,Re'equil,Moisturizer,440,Ceramide|Hyaluronic Acid
